System ID,TM3-TM4 open_fraction,TM3-TM4 open_fraction CI,TM3-TM4 mean_dist (Å),TM7-TM1 open_fraction,TM7-TM1 open_fraction CI,TM7-TM1 mean_dist (Å),TM4-TM5 open_fraction,TM4-TM5 open_fraction CI,TM4-TM5 mean_dist (Å),TM5-TM6 open_fraction,TM5-TM6 open_fraction CI,TM5-TM6 mean_dist (Å),TM1-TM2 open_fraction,TM1-TM2 open_fraction CI,TM1-TM2 mean_dist (Å),TM6-TM7 open_fraction,TM6-TM7 open_fraction CI,TM6-TM7 mean_dist (Å),TM2-TM3 open_fraction,TM2-TM3 open_fraction CI,TM2-TM3 mean_dist (Å)
Gi_8X16,0.619,"[0.587,0.652]",7.56,0.570,"[0.552,0.592]",6.62,0.114,"[0.060,0.154]",2.02,0.207,"[0.149,0.249]",5.74,0.098,"[0.030,0.164]",4.43,0.073,"[0.030,0.139]",5.95,0.020,"[0.000,0.035]",3.58
Gi_8X8L,0.498,"[0.370,0.595]",8.35,0.577,"[0.525,0.605]",7.41,0.020,"[0.010,0.030]",4.00,0.177,"[0.025,0.340]",6.75,0.155,"[0.005,0.265]",7.63,0.020,"[0.015,0.025]",7.38,0.015,"[0.005,0.035]",4.21
Gi_8XGM,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8XIP,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8XIQ,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8XXU,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8XYD,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_8XZI,0.518,"[0.415,0.610]",10.88,0.528,"[0.415,0.610]",9.08,0.118,"[0.105,0.140]",4.67,0.212,"[0.155,0.285]",8.55,0.278,"[0.110,0.480]",9.72,0.063,"[0.010,0.100]",7.06,0.002,"[0.000,0.005]",3.85
Gi_8YIC,0.363,"[0.289,0.502]",5.55,0.670,"[0.592,0.766]",4.75,0.076,"[0.010,0.114]",1.77,0.070,"[0.050,0.109]",5.33,0.584,"[0.532,0.687]",6.63,0.103,"[0.035,0.164]",6.31,0.018,"[0.005,0.035]",1.47
Gi_8YNA,0.442,"[0.360,0.500]",9.97,0.757,"[0.735,0.770]",11.07,0.273,"[0.190,0.360]",5.18,0.233,"[0.010,0.585]",7.61,0.272,"[0.125,0.395]",9.96,0.408,"[0.090,0.865]",10.00,0.008,"[0.000,0.020]",2.55
Gi_8ZQE,0.270,"[0.120,0.405]",8.31,0.202,"[0.135,0.285]",10.08,0.050,"[0.035,0.060]",5.34,0.107,"[0.015,0.240]",7.53,0.023,"[0.015,0.035]",8.38,0.032,"[0.015,0.055]",8.24,0.000,"[0.000,0.000]",3.11
Gi_9AST,0.790,"[0.700,0.850]",9.90,0.447,"[0.425,0.480]",10.02,0.332,"[0.260,0.385]",4.26,0.017,"[0.005,0.030]",8.23,0.002,"[0.000,0.005]",8.57,0.505,"[0.365,0.670]",8.28,0.005,"[0.000,0.015]",4.22
Gi_9IIX,0.968,"[0.920,1.000]",12.34,0.382,"[0.320,0.425]",6.03,0.660,"[0.365,0.905]",7.96,0.385,"[0.050,0.910]",10.76,0.082,"[0.025,0.125]",8.51,0.408,"[0.090,0.760]",10.69,0.013,"[0.000,0.030]",7.80
Gi_9J5V,0.453,"[0.330,0.645]",10.56,0.493,"[0.295,0.775]",9.06,0.680,"[0.640,0.755]",4.74,0.090,"[0.020,0.165]",7.28,0.037,"[0.000,0.100]",9.47,0.015,"[0.000,0.045]",7.86,0.000,"[0.000,0.000]",3.58
Gq_6OIJ,0.675,"[0.660,0.685]",10.05,0.705,"[0.575,0.895]",7.15,0.208,"[0.090,0.300]",3.81,0.165,"[0.105,0.240]",9.00,0.190,"[0.005,0.545]",9.40,0.158,"[0.035,0.225]",8.19,0.018,"[0.000,0.045]",2.84
Gq_7DFL,0.267,"[0.200,0.315]",8.61,0.350,"[0.305,0.430]",5.37,0.068,"[0.030,0.130]",3.12,0.110,"[0.020,0.185]",7.37,0.147,"[0.090,0.235]",7.17,0.047,"[0.045,0.050]",7.47,0.000,"[0.000,0.000]",1.86
Gq_7DWC,0.335,"[0.100,0.520]",0.54,0.435,"[0.100,0.965]",37.44,0.103,"[0.015,0.175]",0.94,0.000,"[0.000,0.000]",2.45,0.402,"[0.375,0.435]",5.92,0.000,"[0.000,0.000]",0.00,0.005,"[0.005,0.005]",1.94
Gq_7E9W,0.542,"[0.420,0.635]",10.54,0.913,"[0.900,0.930]",9.55,0.157,"[0.065,0.210]",3.63,0.060,"[0.035,0.085]",7.85,0.105,"[0.045,0.170]",8.88,0.260,"[0.190,0.375]",7.43,0.000,"[0.000,0.000]",2.60
Gq_7EIB,0.812,"[0.765,0.840]",10.43,0.230,"[0.205,0.255]",9.04,0.168,"[0.085,0.225]",4.01,0.280,"[0.065,0.395]",9.98,0.037,"[0.000,0.095]",8.10,0.008,"[0.000,0.020]",8.86,0.000,"[0.000,0.000]",3.87
Gq_7EZM,0.380,"[0.310,0.465]",11.68,0.563,"[0.365,0.695]",8.53,0.075,"[0.040,0.125]",3.48,0.303,"[0.145,0.505]",10.14,0.540,"[0.465,0.585]",8.25,0.060,"[0.020,0.125]",7.68,0.000,"[0.000,0.000]",4.65
Gq_7F2O,0.722,"[0.625,0.790]",12.58,0.368,"[0.100,0.765]",9.12,0.308,"[0.230,0.400]",4.89,0.235,"[0.165,0.305]",8.44,0.142,"[0.005,0.370]",9.16,0.020,"[0.005,0.045]",7.91,0.012,"[0.000,0.030]",5.37
Gq_7F6G,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gq_7F8W,0.585,"[0.515,0.715]",9.82,0.520,"[0.395,0.735]",9.62,0.337,"[0.330,0.350]",4.43,0.037,"[0.030,0.050]",8.78,0.412,"[0.360,0.485]",7.50,0.097,"[0.020,0.245]",7.62,0.000,"[0.000,0.000]",2.67
Gq_7F9Z,0.275,"[0.100,0.490]",8.92,0.495,"[0.170,0.760]",7.46,0.212,"[0.060,0.410]",3.88,0.383,"[0.070,0.745]",9.33,0.185,"[0.000,0.365]",9.38,0.478,"[0.300,0.750]",8.31,0.050,"[0.005,0.085]",4.00
Gq_7P00,0.137,"[0.080,0.175]",9.71,0.460,"[0.330,0.545]",7.13,0.057,"[0.040,0.085]",2.99,0.285,"[0.200,0.360]",8.84,0.568,"[0.435,0.705]",8.24,0.042,"[0.025,0.060]",7.25,0.000,"[0.000,0.000]",5.32
Gq_7RAN,0.569,"[0.491,0.629]",9.25,0.832,"[0.794,0.903]",9.16,0.190,"[0.000,0.460]",4.42,0.011,"[0.000,0.032]",6.98,0.000,"[0.000,0.000]",7.54,0.005,"[0.000,0.016]",5.76,0.000,"[0.000,0.000]",2.66
Gq_7RYC,0.978,"[0.973,0.987]",13.95,0.486,"[0.380,0.557]",8.41,0.296,"[0.253,0.370]",2.79,0.279,"[0.038,0.685]",7.01,0.073,"[0.013,0.139]",7.87,0.347,"[0.055,0.835]",7.68,0.084,"[0.000,0.253]",4.82
Gq_7S8L,0.172,"[0.065,0.235]",7.02,0.538,"[0.240,0.695]",7.62,0.170,"[0.095,0.310]",4.58,0.442,"[0.355,0.535]",6.54,0.142,"[0.000,0.245]",10.34,0.143,"[0.010,0.390]",6.78,0.000,"[0.000,0.000]",4.24
Gq_7S8P,0.070,"[0.005,0.170]",7.21,0.257,"[0.220,0.325]",7.37,0.283,"[0.255,0.300]",5.36,0.400,"[0.250,0.530]",6.27,0.000,"[0.000,0.000]",9.34,0.123,"[0.075,0.180]",7.03,0.000,"[0.000,0.000]",2.58
Gq_7SR8,0.632,"[0.575,0.685]",9.51,0.402,"[0.310,0.500]",9.19,0.145,"[0.140,0.150]",4.32,0.002,"[0.000,0.005]",6.83,0.305,"[0.275,0.335]",7.19,0.032,"[0.000,0.095]",7.81,0.000,"[0.000,0.000]",2.55
Gq_7SRR,0.130,"[0.110,0.165]",7.92,0.587,"[0.430,0.740]",7.51,0.005,"[0.000,0.010]",2.75,0.002,"[0.000,0.005]",6.53,0.005,"[0.000,0.015]",6.54,0.090,"[0.000,0.235]",6.66,0.002,"[0.000,0.005]",2.63
Gq_7TRY,0.662,"[0.365,0.880]",9.05,0.073,"[0.000,0.200]",7.02,0.132,"[0.020,0.190]",3.84,0.117,"[0.015,0.270]",7.40,0.172,"[0.040,0.400]",8.74,0.192,"[0.050,0.440]",6.56,0.000,"[0.000,0.000]",2.72
Gq_7W3Z,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gq_7W53,0.583,"[0.570,0.610]",10.76,0.505,"[0.440,0.545]",8.52,0.392,"[0.225,0.615]",5.40,0.073,"[0.020,0.165]",10.04,0.268,"[0.115,0.490]",7.65,0.002,"[0.000,0.005]",7.73,0.002,"[0.000,0.005]",4.00
Gq_7W55,0.470,"[0.410,0.580]",10.13,0.605,"[0.570,0.665]",7.23,0.155,"[0.000,0.310]",4.60,0.143,"[0.105,0.195]",9.55,0.500,"[0.440,0.575]",7.94,0.108,"[0.025,0.255]",8.40,0.018,"[0.000,0.030]",2.80
Gq_7XJL,0.532,"[0.450,0.585]",9.47,0.760,"[0.630,0.855]",9.40,0.255,"[0.140,0.410]",5.55,0.525,"[0.450,0.650]",9.95,0.670,"[0.650,0.700]",10.26,0.180,"[0.090,0.305]",8.17,0.055,"[0.020,0.120]",3.57
Gq_7XW9,0.110,"[0.050,0.220]",8.81,0.622,"[0.595,0.665]",9.38,0.220,"[0.130,0.305]",5.45,0.155,"[0.055,0.215]",8.72,0.112,"[0.045,0.145]",7.04,0.107,"[0.020,0.270]",7.59,0.000,"[0.000,0.000]",3.54
Gq_7XWO,0.270,"[0.110,0.515]",8.47,0.190,"[0.120,0.290]",8.90,0.057,"[0.025,0.110]",3.21,0.062,"[0.010,0.165]",7.89,0.307,"[0.140,0.515]",6.53,0.147,"[0.055,0.235]",8.00,0.000,"[0.000,0.000]",3.45
Gq_7XXH,0.448,"[0.410,0.490]",7.77,0.210,"[0.075,0.425]",8.18,0.057,"[0.040,0.080]",4.83,0.132,"[0.090,0.190]",7.16,0.252,"[0.000,0.750]",9.92,0.175,"[0.035,0.435]",7.83,0.018,"[0.010,0.025]",5.26
Gq_7Y26,0.522,"[0.240,0.735]",7.77,0.432,"[0.355,0.545]",7.47,0.098,"[0.035,0.155]",3.25,0.308,"[0.295,0.325]",6.82,0.272,"[0.220,0.375]",6.96,0.160,"[0.105,0.215]",7.78,0.003,"[0.000,0.010]",4.27
Gq_7YDM,0.503,"[0.490,0.510]",10.60,0.005,"[0.000,0.010]",6.66,0.603,"[0.585,0.630]",4.33,0.048,"[0.025,0.085]",6.46,0.022,"[0.010,0.030]",5.96,0.222,"[0.135,0.270]",8.71,0.000,"[0.000,0.000]",3.24
Gq_8DPF,0.556,"[0.473,0.642]",6.86,0.352,"[0.289,0.463]",5.83,0.305,"[0.149,0.473]",3.46,0.308,"[0.095,0.567]",7.54,0.181,"[0.104,0.269]",5.07,0.355,"[0.080,0.572]",5.81,0.071,"[0.030,0.149]",1.79
Gq_8DWC,0.407,"[0.355,0.485]",9.63,0.100,"[0.090,0.105]",6.43,0.493,"[0.425,0.555]",7.00,0.590,"[0.475,0.695]",7.42,0.000,"[0.000,0.000]",8.73,0.293,"[0.065,0.525]",7.16,0.003,"[0.000,0.010]",4.23
Gq_8E9W,0.758,"[0.635,0.895]",12.14,0.913,"[0.900,0.930]",9.61,0.362,"[0.310,0.405]",3.51,0.105,"[0.020,0.200]",7.80,0.147,"[0.110,0.185]",9.02,0.262,"[0.130,0.360]",7.33,0.002,"[0.000,0.005]",3.26
Gq_8EJC,0.163,"[0.000,0.440]",6.42,0.080,"[0.025,0.115]",7.11,0.460,"[0.305,0.595]",7.50,0.025,"[0.000,0.065]",8.51,0.003,"[0.000,0.005]",7.53,0.003,"[0.000,0.010]",7.91,0.047,"[0.025,0.075]",4.66
Gq_8F7X,0.727,"[0.675,0.755]",12.30,0.748,"[0.650,0.800]",8.24,0.583,"[0.490,0.635]",4.64,0.187,"[0.115,0.315]",8.40,0.413,"[0.335,0.485]",8.17,0.022,"[0.015,0.030]",7.32,0.000,"[0.000,0.000]",4.92
Gq_8H0P,0.555,"[0.520,0.615]",7.68,0.537,"[0.505,0.580]",8.98,0.112,"[0.065,0.140]",2.66,0.147,"[0.000,0.430]",7.27,0.263,"[0.140,0.410]",8.93,0.462,"[0.065,0.725]",10.05,0.003,"[0.000,0.010]",2.66
Gq_8HCQ,0.207,"[0.175,0.250]",8.75,0.727,"[0.520,0.850]",9.25,0.277,"[0.185,0.450]",4.43,0.052,"[0.010,0.125]",8.09,0.393,"[0.165,0.530]",10.11,0.133,"[0.015,0.295]",8.55,0.012,"[0.000,0.030]",3.95
Gq_8HCX,0.413,"[0.330,0.540]",9.04,0.705,"[0.680,0.745]",8.87,0.253,"[0.105,0.405]",4.11,0.027,"[0.020,0.030]",7.48,0.178,"[0.025,0.295]",8.54,0.043,"[0.035,0.055]",6.99,0.005,"[0.000,0.010]",3.81
Gq_8IBV,0.152,"[0.125,0.190]",9.99,0.427,"[0.275,0.620]",7.31,0.128,"[0.095,0.160]",4.83,0.338,"[0.240,0.440]",8.61,0.178,"[0.075,0.320]",7.33,0.210,"[0.145,0.275]",8.15,0.190,"[0.075,0.310]",5.31
Gq_8IUK,0.130,"[0.085,0.190]",7.80,0.422,"[0.260,0.550]",8.50,0.012,"[0.005,0.015]",3.34,0.203,"[0.020,0.470]",7.74,0.108,"[0.020,0.245]",7.01,0.100,"[0.045,0.185]",7.06,0.017,"[0.000,0.045]",5.41
Gq_8IYS,0.308,"[0.260,0.400]",8.47,0.392,"[0.360,0.445]",11.13,0.105,"[0.050,0.165]",5.78,0.155,"[0.085,0.205]",9.90,0.103,"[0.060,0.135]",8.77,0.208,"[0.115,0.280]",9.59,0.003,"[0.000,0.005]",2.77
Gq_8J9N,0.672,"[0.605,0.725]",11.24,0.045,"[0.020,0.085]",8.12,0.133,"[0.095,0.165]",6.49,0.342,"[0.290,0.420]",7.89,0.147,"[0.030,0.330]",8.60,0.005,"[0.005,0.005]",7.79,0.000,"[0.000,0.000]",7.54
Gq_8JBG,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gq_8WST,0.552,"[0.485,0.600]",10.81,0.365,"[0.275,0.415]",9.32,0.167,"[0.110,0.215]",4.54,0.017,"[0.000,0.045]",6.69,0.348,"[0.270,0.440]",8.60,0.020,"[0.000,0.050]",7.14,0.008,"[0.000,0.020]",3.76
Gq_8WZ2,0.355,"[0.315,0.380]",8.81,0.653,"[0.555,0.835]",9.13,0.095,"[0.050,0.135]",3.64,0.202,"[0.165,0.225]",7.71,0.585,"[0.360,0.715]",10.62,0.142,"[0.015,0.390]",8.18,0.052,"[0.000,0.155]",3.45
Gq_8XGS,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gq_8XOJ,0.598,"[0.525,0.640]",11.46,0.850,"[0.825,0.885]",8.30,0.187,"[0.105,0.295]",2.75,0.305,"[0.195,0.400]",6.74,0.145,"[0.015,0.255]",9.76,0.070,"[0.015,0.150]",7.39,0.082,"[0.000,0.135]",3.91
Gq_8XOR,0.453,"[0.365,0.505]",8.56,0.392,"[0.330,0.470]",9.34,0.098,"[0.020,0.210]",4.70,0.008,"[0.000,0.025]",7.67,0.038,"[0.000,0.095]",7.96,0.067,"[0.040,0.115]",8.04,0.077,"[0.005,0.170]",5.32
Gq_8Y53,0.682,"[0.655,0.710]",9.79,0.615,"[0.520,0.750]",7.72,0.268,"[0.250,0.285]",4.55,0.000,"[0.000,0.000]",8.24,0.260,"[0.165,0.420]",8.47,0.012,"[0.000,0.030]",7.83,0.012,"[0.000,0.025]",3.14
Gq_8ZPT,0.430,"[0.355,0.551]",7.54,0.629,"[0.585,0.710]",8.96,0.128,"[0.080,0.174]",3.91,0.154,"[0.138,0.170]",7.48,0.338,"[0.215,0.500]",9.01,0.183,"[0.020,0.505]",8.25,0.010,"[0.000,0.020]",3.89
Gs_3SN6,0.335,"[0.185,0.485]",5.57,0.550,"[0.485,0.645]",9.45,0.110,"[0.015,0.260]",2.85,0.155,"[0.100,0.220]",6.48,0.343,"[0.315,0.390]",8.04,0.138,"[0.075,0.225]",8.32,0.012,"[0.000,0.035]",2.23
Gs_6GDG,0.438,"[0.365,0.480]",11.42,0.767,"[0.675,0.875]",8.85,0.008,"[0.005,0.015]",3.14,0.337,"[0.175,0.425]",7.08,0.253,"[0.130,0.335]",8.79,0.040,"[0.040,0.040]",6.53,0.000,"[0.000,0.000]",3.41
Gs_6LI3,0.670,"[0.480,0.825]",10.53,0.670,"[0.485,0.890]",9.21,0.007,"[0.005,0.010]",4.46,0.593,"[0.470,0.825]",12.81,0.105,"[0.000,0.280]",8.58,0.173,"[0.060,0.300]",8.22,0.003,"[0.000,0.005]",5.98
Gs_6NBI,0.497,"[0.465,0.530]",11.61,0.015,"[0.005,0.030]",8.88,0.073,"[0.000,0.215]",7.27,0.010,"[0.000,0.030]",5.42,0.040,"[0.015,0.075]",9.69,0.353,"[0.240,0.545]",10.90,0.000,"[0.000,0.000]",5.39
Gs_6PB0,0.818,"[0.720,0.915]",12.77,0.000,"[0.000,0.000]",6.74,0.115,"[0.085,0.145]",2.34,0.208,"[0.155,0.285]",7.08,0.002,"[0.000,0.005]",9.09,0.300,"[0.300,0.300]",9.29,0.000,"[0.000,0.000]",3.33
Gs_6PB1,0.245,"[0.175,0.335]",10.01,0.000,"[0.000,0.000]",6.47,0.043,"[0.020,0.080]",2.04,0.077,"[0.040,0.115]",7.29,0.003,"[0.000,0.005]",7.51,0.372,"[0.295,0.435]",8.79,0.000,"[0.000,0.000]",2.80
Gs_6UVA,0.000,"[0.000,0.000]",6.56,0.003,"[0.000,0.010]",7.02,0.000,"[0.000,0.000]",0.00,0.185,"[0.050,0.285]",6.45,0.007,"[0.000,0.020]",6.63,0.510,"[0.430,0.555]",6.36,0.000,"[0.000,0.000]",3.99
Gs_6WZG,0.592,"[0.415,0.730]",11.85,0.003,"[0.000,0.010]",7.58,0.568,"[0.235,0.915]",8.36,0.612,"[0.425,0.845]",10.55,0.007,"[0.000,0.020]",6.83,0.657,"[0.440,0.830]",10.05,0.000,"[0.000,0.000]",4.13
Gs_7CFN,0.448,"[0.305,0.580]",4.84,0.300,"[0.230,0.365]",6.96,0.620,"[0.575,0.655]",4.11,0.497,"[0.385,0.685]",9.92,0.217,"[0.155,0.270]",6.89,0.265,"[0.175,0.435]",9.82,0.018,"[0.015,0.020]",3.18
Gs_7CX2,0.627,"[0.535,0.745]",7.57,0.443,"[0.130,0.755]",7.46,0.380,"[0.300,0.435]",2.43,0.078,"[0.000,0.225]",6.08,0.090,"[0.015,0.145]",5.98,0.005,"[0.000,0.010]",6.37,0.068,"[0.000,0.110]",3.21
Gs_7D68,0.583,"[0.430,0.875]",10.98,0.067,"[0.015,0.105]",9.68,0.350,"[0.020,0.925]",7.37,0.158,"[0.020,0.280]",10.16,0.017,"[0.000,0.040]",7.25,0.447,"[0.325,0.600]",7.91,0.000,"[0.000,0.000]",3.86
Gs_7D7M,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gs_7DUQ,0.230,"[0.185,0.280]",9.65,0.002,"[0.000,0.005]",7.58,0.062,"[0.055,0.065]",3.83,0.347,"[0.225,0.465]",9.67,0.168,"[0.020,0.445]",8.23,0.595,"[0.575,0.615]",10.20,0.000,"[0.000,0.000]",3.50
Gs_7EQ1,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gs_7F16,0.463,"[0.435,0.505]",11.13,0.008,"[0.000,0.020]",8.69,0.022,"[0.010,0.030]",5.42,0.232,"[0.150,0.380]",7.99,0.225,"[0.025,0.620]",11.49,0.170,"[0.095,0.265]",10.64,0.005,"[0.005,0.005]",5.44
Gs_7F4H,0.823,"[0.795,0.855]",11.16,0.022,"[0.000,0.055]",4.54,0.838,"[0.730,0.930]",7.22,0.115,"[0.050,0.155]",7.44,0.045,"[0.005,0.080]",8.23,0.313,"[0.025,0.595]",7.10,0.002,"[0.000,0.005]",3.99
Gs_7F54,0.755,"[0.695,0.825]",11.05,0.555,"[0.380,0.805]",6.68,0.757,"[0.705,0.825]",5.79,0.203,"[0.075,0.275]",6.73,0.385,"[0.150,0.665]",8.30,0.035,"[0.020,0.055]",7.52,0.000,"[0.000,0.000]",2.99
Gs_7FIG,0.545,"[0.485,0.585]",9.87,0.090,"[0.060,0.130]",9.60,0.328,"[0.275,0.410]",4.64,0.292,"[0.100,0.520]",7.27,0.098,"[0.035,0.200]",8.06,0.638,"[0.450,0.830]",8.60,0.110,"[0.000,0.330]",4.53
Gs_7FIN,0.580,"[0.415,0.890]",10.71,0.012,"[0.000,0.025]",8.64,0.450,"[0.160,0.905]",7.13,0.268,"[0.185,0.340]",9.38,0.018,"[0.000,0.040]",8.38,0.480,"[0.215,0.665]",10.11,0.000,"[0.000,0.000]",4.55
Gs_7JVQ,0.457,"[0.335,0.595]",8.41,0.420,"[0.360,0.470]",8.88,0.062,"[0.030,0.100]",4.61,0.205,"[0.120,0.335]",8.77,0.335,"[0.290,0.420]",7.46,0.017,"[0.010,0.030]",7.62,0.000,"[0.000,0.000]",2.78
Gs_7KH0,0.482,"[0.450,0.515]",13.88,0.178,"[0.110,0.265]",7.31,0.052,"[0.045,0.060]",4.80,0.103,"[0.015,0.160]",7.77,0.038,"[0.000,0.105]",9.10,0.050,"[0.020,0.080]",7.13,0.023,"[0.000,0.055]",3.35
Gs_7L1V,0.763,"[0.690,0.820]",9.67,0.252,"[0.195,0.325]",9.72,0.438,"[0.145,0.625]",4.43,0.140,"[0.000,0.395]",6.48,0.297,"[0.175,0.420]",7.17,0.078,"[0.005,0.200]",7.42,0.000,"[0.000,0.000]",2.00
Gs_7MBX,0.552,"[0.480,0.630]",11.36,0.455,"[0.345,0.525]",8.59,0.050,"[0.015,0.070]",3.77,0.120,"[0.045,0.185]",9.94,0.380,"[0.170,0.645]",8.41,0.053,"[0.000,0.160]",7.74,0.000,"[0.000,0.000]",3.79
Gs_7RMH,0.252,"[0.065,0.540]",10.37,0.390,"[0.285,0.445]",7.58,0.198,"[0.040,0.470]",3.25,0.240,"[0.070,0.325]",8.45,0.450,"[0.320,0.550]",9.15,0.173,"[0.105,0.245]",7.18,0.002,"[0.000,0.005]",5.74
Gs_7T9N,0.690,"[0.595,0.840]",10.34,0.062,"[0.045,0.095]",8.86,0.560,"[0.440,0.745]",5.09,0.112,"[0.045,0.230]",6.80,0.130,"[0.090,0.210]",7.98,0.870,"[0.825,0.905]",8.46,0.095,"[0.050,0.175]",4.84
Gs_7TMW,0.342,"[0.255,0.505]",6.04,0.042,"[0.015,0.075]",7.71,0.062,"[0.045,0.095]",3.43,0.493,"[0.270,0.805]",9.92,0.102,"[0.090,0.110]",7.92,0.110,"[0.040,0.175]",7.45,0.000,"[0.000,0.000]",2.08
Gs_7V9M,0.722,"[0.610,0.820]",9.63,0.012,"[0.000,0.030]",7.33,0.313,"[0.225,0.470]",5.60,0.105,"[0.000,0.300]",9.90,0.012,"[0.000,0.025]",8.34,0.372,"[0.300,0.440]",9.52,0.022,"[0.010,0.040]",2.82
Gs_7VUH,0.823,"[0.796,0.841]",10.13,0.541,"[0.383,0.622]",6.99,0.294,"[0.159,0.488]",2.63,0.151,"[0.030,0.244]",7.94,0.171,"[0.109,0.254]",6.34,0.088,"[0.040,0.134]",4.77,0.066,"[0.000,0.189]",3.16
Gs_7WBJ,0.320,"[0.260,0.425]",8.95,0.007,"[0.000,0.020]",7.22,0.022,"[0.010,0.030]",4.77,0.040,"[0.000,0.115]",5.28,0.103,"[0.040,0.210]",6.89,0.170,"[0.065,0.280]",6.38,0.000,"[0.000,0.000]",4.02
Gs_7WU2,0.548,"[0.385,0.675]",12.35,0.007,"[0.000,0.015]",7.45,0.682,"[0.575,0.755]",5.85,0.205,"[0.085,0.290]",6.88,0.027,"[0.005,0.050]",6.83,0.213,"[0.080,0.330]",8.66,0.000,"[0.000,0.000]",2.55
Gs_7WU3,0.223,"[0.150,0.275]",7.71,0.032,"[0.020,0.040]",6.34,0.067,"[0.045,0.090]",2.54,0.113,"[0.090,0.140]",7.84,0.042,"[0.015,0.090]",6.07,0.503,"[0.320,0.625]",9.78,0.000,"[0.000,0.000]",4.02
Gs_7WUJ,0.137,"[0.125,0.160]",9.07,0.000,"[0.000,0.000]",6.81,0.482,"[0.400,0.535]",4.77,0.015,"[0.000,0.040]",8.94,0.020,"[0.000,0.050]",7.38,0.135,"[0.090,0.210]",9.48,0.000,"[0.000,0.000]",2.51
Gs_7XT8,0.688,"[0.530,0.815]",8.42,0.820,"[0.640,0.925]",10.37,0.040,"[0.005,0.090]",2.92,0.083,"[0.025,0.195]",8.22,0.273,"[0.125,0.435]",7.84,0.002,"[0.000,0.005]",7.39,0.000,"[0.000,0.000]",1.68
Gs_7XTB,0.360,"[0.300,0.480]",7.78,0.487,"[0.445,0.515]",6.94,0.112,"[0.060,0.185]",5.45,0.090,"[0.050,0.145]",6.90,0.132,"[0.110,0.175]",7.25,0.037,"[0.020,0.070]",7.30,0.000,"[0.000,0.000]",2.70
Gs_7XTC,0.525,"[0.470,0.570]",9.30,0.330,"[0.130,0.595]",7.45,0.007,"[0.000,0.015]",3.36,0.160,"[0.095,0.250]",6.37,0.333,"[0.185,0.530]",7.47,0.018,"[0.005,0.040]",6.08,0.012,"[0.010,0.015]",2.92
